day,lunar_day_name,lunar_day,week_day,week_day_name,day_type,day_type_id
20170506,四月十一日,0411,6,星期六,双休日,3
20170507,四月十二日,0412,7,星期天,双休日,3
20170508,四月十三日,0413,1,星期一,工作日,2
20170509,四月十四日,0414,2,星期二,工作日,2
20170510,四月十五日,0415,3,星期三,工作日,2
20170511,四月十六日,0416,4,星期四,工作日,2
20170512,四月十七日,0417,5,星期五,工作日,2
20170513,四月十八日,0418,6,星期六,双休日,3
20170514,四月十九日,0419,7,星期天,节假日,1
20170515,四月二十日,0420,1,星期一,工作日,2
20170516,四月廿一日,0421,2,星期二,工作日,2
20170517,四月廿二日,0422,3,星期三,工作日,2
20170518,四月廿三日,0423,4,星期四,工作日,2
20170519,四月廿四日,0424,5,星期五,工作日,2
20170520,四月廿五日,0425,6,星期六,节假日,1
20170521,四月廿六日,0426,7,星期天,双休日,3
20170522,四月廿七日,0427,1,星期一,工作日,2
20170523,四月廿八日,0428,2,星期二,工作日,2
20170524,四月廿九日,0429,3,星期三,工作日,2
20170525,四月三十日,0430,4,星期四,工作日,2
20170526,五月初一,0501,5,星期五,工作日,2
20170527,五月初二,0502,6,星期六,工作日,2
20170528,五月初三,0503,7,星期天,节假日,1
20170529,五月初四,0504,1,星期一,节假日,1
20170530,五月初五,0505,2,星期二,节假日,1
20170531,五月初六,0506,3,星期三,工作日,2
20170601,五月初七,0507,4,星期四,工作日(节日),4
20170602,五月初八,0508,5,星期五,工作日,2
20170603,五月初九,0509,6,星期六,双休日,3
20170604,五月初十,0510,7,星期天,双休日,3
20170605,五月十一日,0511,1,星期一,工作日,2
20170606,五月十二日,0512,2,星期二,工作日,2
20170607,五月十三日,0513,3,星期三,工作日,2
20170608,五月十四日,0514,4,星期四,工作日,2
20170609,五月十五日,0515,5,星期五,工作日,2
20170610,五月十六日,0516,6,星期六,双休日,3
20170611,五月十七日,0517,7,星期天,双休日,3
20170612,五月十八日,0518,1,星期一,工作日,2
20170613,五月十九日,0519,2,星期二,工作日,2
20170614,五月二十日,0520,3,星期三,工作日,2
20170615,五月廿一日,0521,4,星期四,工作日,2
20170616,五月廿二日,0522,5,星期五,工作日,2
20170617,五月廿三日,0523,6,星期六,双休日,3
20170618,五月廿四日,0524,7,星期天,节假日,1
20170619,五月廿五日,0525,1,星期一,工作日,2
