user,star,eval,content,votes,date
Admit,2017-06-24,"去搭救他被逮捕的儿子。于是，美丽的雷切尔成功俘获了德国军官的心。一切都好像进展顺利，但雷切尔的一个机密任务，却让她陷入了四面楚歌的境况。
复仇的决心还在雷切尔心中熊熊燃烧，叛徒还在某个阴暗的角落",力荐,5,5
Paco,2016-10-30,这部比《她》更像范霍文的晚年代表作。童年目睹的混乱与残暴、大学时期学过的油画，一一在严肃的影像反观中留下锦上添花的痕迹，信手拈来的情色场面也是高级点缀般存在，可谓浑然一体、质感非凡。遗憾在没怎么喘息，戏剧过满反而张力不足，个中情节也有些用力过度。女主真是胸美臀美心更美。,推荐,4,3
汪金卫,2009-11-13,【中国电影资料馆展映】五年前在小MP4上第一次看的时候被彻底震撼。这次大银幕重温依旧紧张得透不过气。大胆的情色戏与屡次反转的剧情无疑是闪耀的亮点。但最震撼的是战后荷兰的疯狂氛围，比纳粹有过之而无不及。女主女配演技太棒。看到熟面孔：德军专业户克里斯汀伯克还有《窃听风暴》男二号。四星半,力荐,5,1
沐梵,2015-02-01,绝赞！将战争爱情惊悚悬疑谍战元素完美融合，大气如史诗、热烈如情诗、伏笔如藏头诗。主体情节是女人在危机年代里的命运沉浮和爱恨交错，个体和群体、忠诚与背叛、牺牲与牟利，种种对比鲜明却不刻板，篇幅长但层次清晰。尤其解放后荷兰民众的施暴与仇恨更是让人反思。女主角完全赋予本片灵魂。,力荐,5,3
麦克阿瑟,2011-08-10,"B＋
    老拍档保罗·范霍文和杰拉德·舒伊特曼用了二十年的时间筹备拍摄出了这部《黑皮书》。“黑暗狂野的气质＋残酷的杀戮镜头＋过激的性描写”非常华丽，足以和钢琴师，美丽人生，辛德勒等经典一争高下，但影片的无奈也在这里，纳粹迫害犹太人的主题已经有足够多的经典影片了，本片的冲突也相对缺",推荐,4,0
C.,2010-07-10,"2010.7.10 @ Home
我看到应该不是阉割版的咯 2个半小时后
导演 编剧 女主 都让人惊艳
比国内那些乱七八糟的谍战片不知道好多少去了
尺度还是挺大滴  套用某评论的说“女主演Carice van Houten献身精神直达阴毛”",力荐,5,1
十个斗的眼窝浅,2013-11-07,《色戒》欧洲版，女主是人间尤物，而其他男子又各为其主，纳粹也好，游击队也罢，特定的历史时期，必定传奇的人生会造就层出不穷的传奇故事。我本就对二战欧洲战场的故事着迷，加上特别有带入感的节奏，随着情节紧张而紧张，曲折而曲折，逆转而逆转，直至结尾，是一部不可多得的好电影。,推荐,4,2
elly的小hui儿,2009-04-11,超级喜欢这部影片，2个多小时的故事一气呵成，剪辑的非常好，配乐恰到好处，演员出色，有其女主角和那个德国军官。故事起伏比较大，高潮迭起，需要注意一些细节，看这种片子是享受，我想有时间我还会再看！,力荐,5,0
老鱼聊发少女心,2010-08-22,刚出来的时候看的还想这和色戒完全没可比性么（关于色的部分）。。后来才发现自己看得是阉割版。。哈哈。。这个女演员敬业的没话说了，听说她每次去片场一旦看到导演送她花她就头皮发麻。。。心想今天肯定又会很惨。。。。,推荐,4,0
麦小白,2009-04-09,剧情跟《色.戒》有点像，但比《色.戒》更厚重。战争年代里人性的贪婪与丑恶，背叛与复仇，智慧与正义都在一本黑色的封皮书里大放异彩。#适合反复看。#,推荐,4,1
晚安好运©,2017-08-14,补标，一波三折，高潮迭起，忠诚与背叛的多重交织，烽火战乱见真情，沽名钓誉者又何其多。女主角原来就是GOT里的红袍女巫，真美,力荐,5,1
十月,2012-07-07,荷兰电影，又多一标签。本片女主角是相当出彩的，情节设计很好，人物关系也好。美中不足的是汉斯跑路速度太慢，方法太笨，这是不符合人物性格特征的。而且在救了女主角之后他是有机会取走黑皮书的。结尾处无力，但是不影响全片效果。,推荐,4,0
叉叉小箭猪,2013-02-01,故事虽然有点长，但算得上跌宕起伏，范霍文真会找女主角，侯登表现的妹子很不一般，很有味道，后来才想起来，哦，冰与火之歌里的巫女。,推荐,4,1
安迪熊,2012-09-04,其实是非常赞的一部作品，只不过第一次看的话很多细节都注意不过来，影片对战争对人们心理影响的描述可谓细致入微,推荐,4,0
吞火海峡,2017-06-01,黑皮之书，衣冠楚楚，却隐匿着人性罪薮。当然，保罗范霍文志不在符号，浅尝辄止而已，重点在于波澜起伏严丝合缝的情节，以及男权陪衬下天之骄女的魅惑。【9】,力荐,5,1
越小墨,2011-12-17,这是一部好电影。翻译的名字太……！！ 中国翻译的人为什么都爱取这种类型的名字呢？Zwartboek  直译 黑皮书 也比这个好吧？？,力荐,5,0
stknight,2010-10-05,这部电影还真不错，但一定要看完整版，要是在电影院看的阉割版那你一定会骂娘...整部片子感觉一直是高潮迭起，裸露、阴谋、床戏、枪战，可以让你一刻爽个不停！不过感觉阴谋设置的太多了，看来确实是谁也不能相信。,推荐,4,0
野草,2010-01-02,色戒算个P啊……//黑皮书是个关于二战时期犹太人的故事，给我带来的思考远比辛德勒的名单要深刻得多。它对于战争的看法和鬼子来了有那么点像，战争到底给人民带来了什么？胜利真的是值得庆贺的么？战争之后怎么让人民过上更好的生活而不是国进民退，其实远比战争本身更重要。胜负的概念是狭隘的，以某一概念定义一个群体更是可笑的，那天还在网上看到有人揶揄道：日本已成为我天朝爱国主义专用国。再加上最近网上流传的比较火的那两篇《南京大屠杀到底死了多少人》和《清朝的故事》，以前只是觉得爱不爱某party无所谓，国还是要爱的，但是现在我甚至对这一点都产生了疑虑。,推荐,4,0
内触妙乐,2012-01-16,导演对剧本的挖掘显然到了一定的程度，否则对战争中人性的表现得不会有如次深刻和淋漓尽致。也可以叫荷兰版色戒，但色戒显得过于细致以至于让人觉得小气了许多,推荐,4,0
