user,star,eval,content,votes,date
阿吉娃娃,2009-09-07,媒体宣传的什么荷兰版的色戒完全是哗众取宠吸引眼球之说，我看更像无间道。故事情节比较紧绷，伏笔还算很深，结局出人意料。所以越到后面会越吸引一些。,推荐,4,0
阿吉娃娃,2009-09-07,媒体宣传的什么荷兰版的色戒完全是哗众取宠吸引眼球之说，我看更像无间道。故事情节比较紧绷，伏笔还算很深，结局出人意料。所以越到后面会越吸引一些。,推荐,4,0
静水流深,2010-10-31,字幕太烂了基本就没怎么看懂　不过男女主角喜欢阿！女主角戴红花唱歌那段让我想到了莉莉玛莲,推荐,4,0
shanglin117,2011-09-22,这姑娘太受委屈了，从头到尾噩梦连连，居然还那么乐观积极，幸好最后大翻盘。PS：胸型真美～,推荐,4,0
阿门,2007-07-01,女主角出演很落力 让人知道什么叫敬业。电影让人产生一种宿命感，女人的自我牺牲与抗争在大时代面前是多么的无力。但是比起男人的龌鹾来，她的单纯与执着信念让人尊敬,推荐,4,0
亚当,2013-10-18,当她得知最爱的人死去时的那种绝望的颤抖，我明白，她唯一最亲的人不在了。我也跟着一起感伤。,力荐,5,0
西米,2010-12-22,好紧张的剧情！多给一个星，仅仅因为好几个熟悉的街景，Dordrecht的大教堂，海牙街区等等~,力荐,5,0
明月Yomei,2010-04-01,诶，不知道说啥，剧情还挺饱满的，层层铺垫急转直下，从荷兰反抗军中一名潜入德军内部的犹太女子亲身经历真实故事改编，那视角是相当的不错,推荐,4,0
mRs.SAndaLs,2011-07-07,你心里那个善感的相信人世美好的小女孩还是在那里  她没有变  她是你  你所学到的一切关于和人生周旋的技巧  都是为了保护她  让她好好地住在你的心里  不被遗忘 ...,推荐,4,0
草威,2013-02-04,题材沉重，却拍得如此浅薄。剧情很有节奏，但女主角太厉害，像个超人，削弱了观众的同情心。,还行,3,0
浮影人生,2017-03-27,"这是一部被严重低估的优秀影片,以至于被广大电影爱好者忽视而成为小众类影片.本片通过一个犹太女孩二战中曲折离奇的真实遭遇,不但讲述了德国纳粹对犹太人残忍血腥的虐杀掠夺,更表现了期间林林种种各类人在战争年代及战后真实的面目.不同以往此类题材影片,本片表现的是人性最深层面的真实.大赞女主角.",力荐,5,0
犹在镜中,2018-03-01,3.5 剧情为先，除女主外的人物过于中空。与色戒相比，两者殊途不同归。蕾切尔是绝对的中心，男性/父权是她的陪衬，去引诱也是自我“改造”，运气助她躲过多劫。其命运之颠沛归咎于时局，而不能指向更复杂丰富的层次，使其魅惑美艳到让人惊艳之时少了人味儿。,推荐,4,2
你的怪,2016-10-16,艾丽斯太美，和平来的真是不容易。剧情反转性很强。背叛，人性和爱的话题太复杂了。,力荐,5,1
Zola,2011-03-25,荷兰经典影片，从头到尾都非常好，情节丰富，卡里斯·范·侯登的表演惊艳。,力荐,5,0
黑泽-库布,2012-07-07,又臭又长，其实故事讲得还算明白，但就是最后没给人留下任何印象~,还行,3,0
monica墨,2010-06-08,很真实的拍摄方法，离奇的情节不到最后都不知道结局到底怎样,力荐,5,0
打少,2009-05-02,连贯又不繁琐。睡前用ipod看搞得觉都没睡好。女主角非常不错~,推荐,4,0
soraling,2012-06-17,一本《黑皮书》，充满太多的峰回路转。正义和邪恶，真相和谎言，彼此纠结，胜负难分。艾丽丝比王佳芝幸运，蒙茨却比易先生不幸得多。虽然情感表现上不如《色戒》深入，但情节的曲折和出其不意成为亮点。推荐Black Book。有些真相，有些人，永远也看不到。,推荐,4,0
狼王哈士奇,2010-01-24,李安你看看人家范霍汶，同样的题材咋拍出来差距这么大捏,推荐,4,0
merengue,2012-09-23,温水泡青蛙活在乌托邦的麻木里，永远不能体会为政体揭竿而起的人有一天在理想的自由里安居乐业是什么滋味。宣传大队高举忠字旗就像不死的舞者，穿着烙得滚烫的红鞋子一直跳下去。,推荐,4,0
元氣子,2011-04-02,荷兰妞Ryanne推荐的片子 战争 对于很多国家来说 历史都太过沉重 电影真实的反映了二战时期纳粹的暴行,推荐,4,0
terf,2009-01-10,内奸真多...有西西里美丽传说+色戒的感觉...,力荐,5,0
扣子,2012-07-26,很喜欢根根的情人，真真正正的高人~,推荐,4,0
一片云,2008-08-15,德国人或波兰人，是可以，且容易转换的。,力荐,5,0
隗知,2009-04-24,很会找卖点，披上二战背景的悬疑片。不过剧情还有有两处漏洞吧,推荐,4,0
木馬114,2009-03-14,哎呦那个姑娘销魂可爱俏皮大方唱歌好听，要我是男人我都爱死了,力荐,5,0
本无缰,2009-04-06,导演展示了真实的荷兰人...影院版减了好多......,推荐,4,0
hanstveit,2010-03-07,不像现在的特工，装备精良，还有职业培训。女主角能有这般经历且得生可谓传奇,推荐,4,0
lula,2009-02-16,喜欢。有点像<地下>了。非常非常感动。女一号角色非常丰满，carice表演非常出色。速度控制绝佳。色彩明媚，情节销魂！,力荐,5,0
晃悠,2012-06-18,虽然情节设定类似，但其实这部片和色戒讲的是完全不同的东西。黑皮书讲的是情节，色戒酝酿的是情绪。情节跨度，复杂度，色戒不如它，情绪的深度，厚重程度，它不如色戒。都是佳作。很喜欢电影开头女主俏皮的细节，和电影尾声女主听到噩耗的颤抖，沧海桑田都在这之中了。,推荐,4,1
哈利撸呀！,2012-07-04,找个完整版好难——因为大家都已经习惯自我阉割了,力荐,5,0
你绝对想不到因为这也出乎我意料,2008-02-21,太出彩了，深深被折服就算了，还久久不能平静。女主声音太好啦,力荐,5,0
蜜思糊,2010-07-18,"太精彩太精彩!!!   这才是真真正正的人性表现啊，姑娘爱上男人，人人争夺利益，胜利一方对失败一方的疯狂报复，人的聪明劲儿，谁都不是傻逼，敌人友人没有完美界定，有限的人无限的可能，再升华那就是战争的反思,,,再看汤唯的王佳芝，简直小儿科...",力荐,5,0
静静的视界,2009-08-21,听说《色戒》是照葫芦画瓢的，同样是导演，差距怎么那么大呢？,力荐,5,0
天禧在人间,2008-07-12,关于战争，有太多太多的话已经都说了，关于那些的屠杀，每次的观看，还是觉得触目惊心！这一切都太沉重。片子很不错！,推荐,4,0
nordschleife,2011-01-02,三级片就不能找个nice点的女猪脚么。。。,推荐,4,0
一十一,2013-01-08,片子是拍的不错，可看性非常好，但是超快的节奏使人无法领略到，欧洲电影中常见的人文气息，看得出导演更想要的是好莱坞的那种感官刺激。,还行,3,0
大-燕-威-王,2013-11-14,最可怕最无耻的果然还是叛徒啊。这片儿出彩就出彩在伏笔：胰岛素，巧克力，阑尾炎手术……最后女主用项坠拧钉子那段真的太给力啦！！！,力荐,5,4
瞳°不乖,2013-10-27,意外重逢的开篇，盈盈投入水面的目光拉开回忆的序章，有些事情发生了就再也回不去了，不管笑的多么如九月骄阳，过去仍阴沉沉的占据这心底永无天日，就像抱着身体不停抽搐不停哭泣这样的日子什么时候是个头啊，却仍在死亡降临时奋起反抗，她美得冷静娇艳却仿佛虚无~~,推荐,4,0
粉红色大象,2011-11-10,正方里面有反派，敌方里面也有好人啊~~战争结束后受压迫的人民就变成 了新的纳粹派。 ,力荐,5,0
itrek,2007-05-04,2007－5－4，一口气看完，不错的悬疑片。,推荐,4,0
芝麻糊,2009-09-21,中外历史，同与不同，都有苦难者，牺牲者，卑鄙者，但是让人感叹的是这片子的内省和人道怜悯．即使是对于叛国者它依然有着同情关怀，即使是对着胜利者依然有辩证批判，反思自己的国家，我们是太不人性化还是太人性化了呢？,推荐,4,0
三角形的办公室,2009-04-03,碟子怎么说的荷兰话。。。。不爽,推荐,4,0
mena,2008-11-16,剧情蛮精彩。女主角胸形很美，但演技不是一般的生硬，除了晴天就是阴天，一点过渡都没有。,还行,3,0
沉默的若亚,2010-09-18,还好没去影院看，在网上看的完整版，影院回来的都说没看明白,推荐,4,0
小酣,2012-08-15,女主角染了阴毛OOXX时候掉色了咋办？,推荐,4,0
benny715,2011-10-21,好电影？有股说不出来的感觉。情节也许很曲折，可人物表现出来的逻辑很混乱。,还行,3,0
巻巻,2011-01-02,广电无情的阉割差点让我错失了一部佳作…很久之前在电影院看过~近来偶有机会得见为删剪版,推荐,4,0
空灵赌徒,2016-10-17,二战的片子有很多 这个应该算还是优秀的吧 前面假借逃难敛财让我想起投奔怒海 当女间谍卧底确实又让我想起色戒 女主角最后又卷入另一场战争 可是够惨的 [ 2016.10.17 602 ],推荐,4,1
KinG羽,2017-07-01,按说如此一波三折、惊险刺激的二战片应当喜爱才对啊，然而并没有，细想原因，大概因为太赶太急了，片长不短，但节奏就像赶死队，对于情感和细节的刻画不细腻，死掉的角色按说能装一卡车了，却没几个能让人心起波澜的。最有感触的无疑是泼粪那段，有的人天生贱，翻身后就变“纳粹”。女主真是美。,推荐,4,0
littlefinger,2012-06-01,好久没踏实看部好电影了，比色戒高明。如果只是因为刻画了每个人的品德与其政治立场、XX主义没有任何关系，就被热捧，就显得小了。中国也有很多这样的作品，国也好共也好，大家都是中国人，没有本质的差别。两位先生都做得好文章，两种主义都能救中国，最后比的还是斗争的手段。,推荐,4,0
babydog不Muyan,2011-03-04,西式情节剧版色戒....话说色戒除了在华人地区之外 该真是引不起什么共鸣吧...战后真不错 暴民其实一样可怕,推荐,4,0
没心没肺小螺号,2009-10-05,先看了央视6版本，觉得很多地方都很牵强，节奏也奇怪，像是长篇的缩略版。当时心想着虽然拍摄质量很高，可惜连故事都讲不清。万幸的是为了补上落下的开头，又看了网上原版，这一看就停不下来了，完整地又看一遍。原来电视版剪掉好多，导致线索交代不清，女主角的精彩表演也被打折扣。原来确实是好片。,力荐,5,0
ss,2010-02-22,和色戒比少了点欲望，和南京比少了点力量，和钢琴比少了点残酷，和辛德勒比少了点曲折,还行,3,0
白开水,2011-02-07,当初在电影院看的！一开头就是她在船上了，就感觉怪怪的，看网上才知道是删了好多的！好好的把开头给删了干嘛啊！而且那个军官死的也太无辜了吧，这女的咋就知道报仇啊！不给力,还行,3,0
豆沙包,2013-11-16,五星级强赞啊！女演员看起来很眼熟，最后才发现和冰火的红袍女是同一个人！,力荐,5,0
闲得一塌糊涂,2007-03-15,10——7分。也许是翻译的问题，尽管通体上理解不存在大问题，但有些细节还可斟酌一二。,还行,3,0
Ivo,2007-09-11,结尾叫人失望 尤其最关键的牌子！NND不翻译字母！,推荐,4,0
人形好帅,2012-12-09,看的时候想起了好多电影 虽然都是影子 但历史不就都是差不多的么,推荐,4,0
老罗,2011-02-13,Carice van Houten真不错。,推荐,4,0
肉包兔纸,2007-11-25,"它让我对战争中的正和邪有了新的反思.当看到战后那些所谓的""受害者"" 那些胜利者
那些正义者向被扒光衣服的女主角身上泼粪时.很想哭. 如果这就是善与恶,那世界上还有正与邪的区分吗",推荐,4,0
Alary,2011-06-07,女主角真是福大命大，身边就是内奸竟然活到了最后~听说现实中她和男主在一起了，撒花祝福！~,推荐,4,0
Ron Chan,2012-02-02,看了阉割版我不知所云。看完原版我立马觉得这是一部不可多得的佳片，电影极像欧洲版的《色，戒》，但是剧情又绝非柔情似水，布尔乔亚。《黑皮书》的剧情紧凑得让你觉得去厕所都是浪费时间。,推荐,4,0
膏膏,2010-02-16,简直想俾十粒星。不想再说像色戒或者像风声或者像色戒和风声的合体。全片荡气回肠，起伏叠荡，紧凑严密，引人入胜。很久没有看到这么好的故事这么棒的战争片了！！,未打星,-1,0
只爱这片土地！,2009-09-20,所谓的佳片有约播出的阉割版差点埋没了这部好片。,推荐,4,0
飞刀员外,2011-05-08,85和《色戒》确实有可比性，《色戒》更有味道，《黑皮书》更热闹，各有各的好看。《黑皮书》里女主角一直在和自己一生的敌人争斗，哪怕很多时候她并不知道谁是她的敌人。相比之下，爱情戏苍白了些，完全淹没在快节奏的叙事里了。影片悬念用得很好，直到快结尾才露出真相，很多突转带有宿命的味道,推荐,4,0
肉抖抖,2012-10-22,怎么说，美女间谍的故事，故事有反转（不然就没多大看透了）女主在里面还是有比较惊艳的画面。,还行,3,0
醉生梦死,2009-04-01,故事不错，制作略显粗糙，而且在影院看到的电影明显被阉割了，极大的影响了观影效果，感觉不爽。,还行,3,0
书中仙,2010-01-11,好人被抓，并且受到藏在好人阵营中的坏人们迫害。幸好结局还不错，要不然可真够闹心了。,推荐,4,0
Shy,2009-08-08,人之初 性本恶 / 不为己 天诛地,力荐,5,0
pupo-popu,2012-05-24,商业摄影创作理念 巧妙至极,力荐,5,0
melvins,2014-01-31,殘酷的戰爭 迷人的金毛。2014.01.31,力荐,5,0
leafwei,2007-04-30,"我们一般看到的是战争的危险和残酷,可这个片子给我们展示的解放似乎更让人筋疲力尽.",推荐,4,0
wr456,2010-11-13,对人性的探讨，这个真不错！,力荐,5,0
Frank,2008-06-06,色戒不算什么，步别人的后尘,推荐,4,1
Yolanda,2012-09-15,女主角太美了，对这类片子完全无抵抗，说不出片子有什么出彩，但就能很顺畅的看到尾不打磕绊不停歇，对我来说就够了,推荐,4,0
大心,2014-04-21,1，荷兰版《色戒》，传达了更多的东西。曲折起伏，越到后来越精彩。2，这女人长得不算绝对美，但是有气质，骨子里的刚强。哦，对了，身材实在是...赞！3，每个国家都遭遇过阵痛，每个人也一样。要勇敢！4，一个美女主动投怀送抱一定要小心。但貌似没人能扛得住。,推荐,4,0
李翎竹,2013-04-19,有一段时间没看过这么好看的了。女主角漂亮。二战题材的电影又一部佳作。结局很出人意料。女主角和纳粹军官的爱情也设计的很好，纳粹的军官死了，令人为女主角惋惜。画面拍的很美。,推荐,4,0
兔子,2014-04-10,为何你会为了信仰去糟蹋肉体，又是什么让历史在你生命中刻下永恒的记忆，你所走过的路，也竟是历史正文的一部分,推荐,4,0
索尔之锤,2014-02-05,这种粗暴迅猛的风格一看就知道出自范霍文之手，胰岛素的伏笔很棒，吃巧克力“解毒”的想法大赞，棺材生死两用的前后照应很棒，细节如上尉在士兵开门时用手按住邮票很传神，当然，还有范霍文标志性的大尺度,力荐,5,0
Kovin,2011-12-12,"Pulpy, almost James Bond-like in its mix of spy thrills, action, sex, intrigue, and bold characters.",力荐,5,0
暖,2008-11-18,"人性都是一样的，有时 ，我觉得德国人背负的太重了。
德国人的东西都会有15个副本。。。",力荐,5,0
Chiang,2010-06-04,原版应该不错，可惜我看的是被领导们剪切的不成样子的烂版，但是能看上电影的功底，好片。,推荐,4,0
天才+英雄,2013-04-02,里面有几段很棒，尤其是战后那些人的面孔。但是总体就是没那种被害的紧迫感，女主有时好漂亮，做事又太利索，反而不大会得到同情。三星半~,推荐,4,0
就叫我铿爷吧,2008-05-10,很好看的一部二战电影，对人性的刻画非常深入。,力荐,5,0
Hygge,2012-12-02,看完以后只想说情节丰满，女主角选角不错，人物关系梳理还可以。结尾很好，战争里没有真正的对与错，结尾的犹太人遇难基金创办的农庄，本以为是很好的结局了，一群蓄势待发的士兵，又将中东巴以冲突带我我们的视线之内，仍然没有结束，意犹未尽。,推荐,4,0
Bittersweet,2018-05-08,音乐10 画面8 导演8 故事8 表演10 印象9 平均8.6/10 惊心动魄、意犹未尽。这狗日的生活，何时是个尽头？女主太美了。,推荐,4,0
NIC,2011-01-11,100524很棒的电影。据说是国外版的色戒。是有那么点味道。二战，屠杀犹太人，色诱敌官。最后还有悬疑惊悚。可是为什么我觉得那个纳粹高官如此完美呢。有时候自己人和敌人一样可恶。女主角的遭遇真是令人痛心。不过丑恶终于过去了，还好。永远不要有战争。和平年代真是幸福。战争里人都做不了自己,推荐,4,0
飞鸟,2010-04-17,原来《色戒》只不过是中国版的《黑皮书》而已～,推荐,4,0
森暮,2012-03-25,完全没有必要拿此片与色戒作对比，两者皆为杰作,力荐,5,0
judecheng,2008-06-12,说范霍文是色情版的希区柯克一点都不过分，这片子就是一荷兰版的色戒,推荐,4,0
默默仔是呆萌仔,2013-01-14,Carice van Houten美翻了！,推荐,4,0
小舞舞,2016-07-22,有段时间没看到如此精彩抓人的影片了，不到最后根本猜不到谁才是叛徒，女主的演技和身材一样棒，各方面都比较高规格的作品，最重要的是女主卡里斯·范·侯登居然是红女巫！看的时候根本没认出来，天了撸！从此路人转粉,推荐,4,1
跳舞机器,2013-03-03,无耻阵容如果没有黄金阵容，比黑皮书就是天上地下了,力荐,5,0
超cute侠,2016-06-19,难得导演以一种清醒的目光看待二战，而不是单纯的建立非黑即白，其中心怀良知的德军上尉以及战后对女主进行侮辱的群众都被寄予了复杂的人性，而在剧情不断反转人心深不可测之际，女主和上尉的爱情才可叫做纯粹，年轻时的梅丽珊卓也是性感可人儿一枚。,推荐,4,0
小丑谷米,2012-01-02,跟杀人游戏似的。。。 真正思考战争的片子，没有一味的讲战争中的正反两面，而是说战争所带来的一切侵略者和被侵略者人性的扭曲。看完《金陵十三钗》后看的这部，感到差距。。。,力荐,5,0
花落花开自有时,2017-08-22,和《色戒》立足于剖析女性心理不同，这部电影的情绪则统统收到幕后，呈现出来的则是格局更大的战争本身。革命与背叛。爱情与阴谋。信任与利用。虽然只是短短数月间的故事，却很具史诗品格。片始自行车后座上摆动的双腿是全片最美好的镜头。,力荐,5,1
小疑子,2009-03-11,越来越人性，我喜欢。比那什么名单啊人生啊之类的好的多。,推荐,4,0
亮皮陀,2011-05-22,7.5，具有范霍文的一切特质：性、暴力、美化纳粹。这样的片居然在国内公映过，不可思议啊。,还行,3,0
老马~兔子归来,2013-01-28,今天的喷嚏图卦第13条：法新社报道，在希特勒掌权80周年前夕，德国总理默克尔表示，德国对纳粹罪行负有永久责任。默克尔称：“我们在直面历史，没有隐藏任何事情，这样才能确保德国在未来能成为可信赖的伙伴。我们必须将这段历史告知后代，确保种族主义和反犹太主义没有机会出现。”http://dapenti.org,力荐,5,0
肥壮壮,2010-10-06,还不错，故事讲的比色戒强太多了。,推荐,4,0
叶曳,2014-03-25,破除了很多意识形态的二元对立，德军不是都屠犹不眨眼，抵抗组织也不是如圣母版拯救所有平民，其中还是有利益纠葛，甚至抵抗组织和德军能形成利益联盟。另德占区的解放不是所有不幸的结束，有时候只是拷问良心的开始。,力荐,5,2
supersheep,2009-02-20,够曲折的 怎么好像欧洲人 特别是男得 都长一个样子呢。 讨论了一下发现 内孩子只认出了一个胖子 而我只记得一个卷毛...sigh...,推荐,4,0
忘川 水,2011-09-24,原来能在全世界与你为敌时站在你身后支持你的人，也能利用你的感激趁你不备一把将你推入万丈深渊。,力荐,5,0
王深林子,2017-01-14,红女巫是真的美。这部片子里没有多少小情小爱，很奇怪的也没有多少家国情仇的感觉，更多是乱世下的尔虞我诈、人性本恶吧。女主基本一路开挂，好难死啊……,推荐,4,0
francisca,2008-06-30,the gal is so attractive,推荐,4,0
azaza,2010-06-29,朋友不可信组织不可信领导更不可信，最后果然还是xxoo万岁。这个女人很出彩。,力荐,5,0
Olivia,2009-10-20,又名《惊罹黑书》。导演曾执导《本能》、《星河战队》。一部很别致的二战片，好与坏、友与敌的难测发人深省。,推荐,4,1
乖沙皮,2012-03-24,20120324 在中国的话 女主脚再没翻身寻找真相的机会了吧 一气呵成的剧情 推荐！,力荐,5,0
深夜的阿斯伯格,2016-12-09,如果不出意外的话《黑皮书》就是我的年度最佳，保罗·范霍文最正常的电影。汉斯那个纳粹礼太逗了。说实话梅姑并不让我惊艳，但是在这里真是太美了。妖艳与妩媚原来可以存在与同一身体里。如果色戒是人性的本能与无奈，那黑皮书就是人性的顽强与爱意。,力荐,5,0
手镯,2009-09-26,不仅仅是一部战争片，更是着眼于现实的。前边以为只是一个好故事，看到后边才觉得如此沉重。,力荐,5,0
大v,2007-10-07,直线剧情不错咧 情节片最近很少有看得那么爽的了~,推荐,4,0
♣ 9,2011-01-27,2009-05-24,推荐,4,0
战马空肥,2012-01-04,看这个片子是有评论说这个片子和十三钗差不多剧情，却远胜金陵十三钗，这是纯粹扯淡的，见十三钗还差点火候，还有的说李安的色戒取感于它，那就只能说青出于蓝而胜于蓝。细节安排很差，故事讲的还不错，但仅限于讲故事了,推荐,4,0
\t^h/,2017-09-06,以前明明看过的，居然没有收藏？这电影里荷兰地下组织做得最有效率的事情好像就是出卖战友？,未打星,-1,0
飛飛,2007-12-23,两个荷兰的朋友力荐，于是便看了。拍的不错，不过总是和二战的欧洲战场有一些距离，没有那么多的感触。,推荐,4,0
锐...,2009-02-05,没想到是2006的片子，拍了20年，好看。,推荐,4,0
小·雷克亚未克,2012-09-18,细节稍微差了一点、姑娘、你太纯了、间谍这个职业不适合你,还行,3,0
烟视媚行,2009-02-22,惊艳的女主，曲折的故事，还有战争的创痛。,力荐,5,0
摇滚玄奘,2011-02-17,认识这部电影是源于【色戒】，网上标签二战版的国外【色戒】，但看后绝然没有【色戒】那么色，而是一部纯粹的战争故事。很具故事性，情节曲折，疑云密布，虽然不是直接的通过战争的血腥场景来反映，但导演确是个讲故事的高手。不信，你看了就知道。想想看《故事会》的那种感觉，忘掉好莱坞的虚华吧。,力荐,5,1
电影老村长,2010-08-10,保罗·范霍文的追逐场面永远一气呵成、惊心动魄，男女永远共用浴室和更衣室。,力荐,5,1
sarah,2013-06-07,Carice van Houten很像Christina Aguilera。。。。very beautiful tits。。。。。,还行,3,0
公園仔,2007-05-07,20070507 1905 Palace IFC,还行,3,0
西西弗斯,2012-04-01,非常喜欢的故事。之前是在朋友的一本电影推荐的书里看到，高中毕业之后就找来看了。果然一点都不失望。,力荐,5,0
噩梦枕头,2009-04-08,差不多的剧情，凭什么色戒就拍得这么晦涩沉闷……,推荐,4,0
杀猪刀,2012-04-29,情人节一个人去满场的电影院最后一排看的,推荐,4,0
Ines.L.J,2009-10-04,原来色戒也有原形的，哎~~~,推荐,4,0
vampire,2008-09-20,that was the best!,力荐,5,0
yanggzz,2009-02-12,"我先在电影院看的，感觉烂片一个。预感肯定有问题，上网一查是删了很多。找到原版看后，的确是好片，整体部分还算不错，但最关键的是结尾，有了这个结尾，简直上了一个更高的境界。

我们的审查制度啊，如果非要这么删减的话，那就不要引进啊，删减之后完全破坏了原作。",推荐,4,2
努力君,2010-01-05,真实的故事。女主角金发好漂亮，演的也很好。。。庆幸自己看的不是剪切版,力荐,5,0
Stan,2017-11-25,补 | 应该是剧本届教科书的存在了吧，反转，细节，铺垫，悬念完美结合。两个多小时节奏把握的有条不紊。对人性的表现也很深刻，没有人真的值得信任。女主角爆发的那场哭戏真的惊艳到我了！太棒！,力荐,5,1
饼饼吃饱了吗？,2017-03-28,红袍女演技简直炸裂！！！从可怜巴巴的逃难女到面对残忍纳粹的淡定隐忍坚强 一路走来 纳粹的残忍对比叛军的处境 胜利者的嘴脸对比被叛国的人们 一幕幕战争的残酷 一幕幕人性的剥离 到最终汉斯医生被女主一钉钉一下下的钉死在棺材里 和戈本平静的坐在河边 我们的心 似乎终于柔软平和了下来 字数不够了！,力荐,5,1
Rosy Rose,2012-10-22,Gorgeous dresses!!!,还行,3,0
[已注销],2009-12-10,大部平庸，局部有料，巧克力中和胰岛素有点意思。,推荐,4,0
probe,2016-04-12,前半部分以为是通俗剧模式，没想到反抗军牺牲如此惨烈，又以为是战争反思主题，末了才发觉原来是谍战悬疑式的黑色电影，有点太过戏剧性了。不过女主太给该片加分了！,推荐,4,1
Erinnyes的庇护,2009-05-18,"虽然我看的是被剪过的版本，但依然很震撼。战争的本质就是征服，征服的手段就是干掉不服的人，对任何人都一样，无论纳粹还是犹太人。
不要拿这部片子和色戒比，无可比性。色戒不是这个层次的电影。",力荐,5,0
茕茕白兔,2010-10-31,最可憎的以及最要警惕的无疑是混迹于人群当中的野心家,力荐,5,2
球球,2012-01-09,非常棒的一部二战电影，可以跟辛德勒的名单媲美。看着看着突然感觉色戒跟它好像啊，只是色戒被大家关注的都是“色”。爱丽丝穿着红色礼服在台上唱歌的时候简直震惊四座，太惊艳了。整部影片节奏紧凑，总是出现一个有一个间谍。爱丽丝和蒙茨之间的感情很真实~~,力荐,5,0
像一把刀子,2009-12-25,看时心惊肉跳，字幕一跳出 点上一支烟 哎，不就是一二战优秀故事片么,推荐,4,0
瞬间,2013-10-25,可怕的不是法西斯 可怕的是人心  二战德军猎杀犹太人题材电影,推荐,4,0
Clyde,2017-04-16,另类二战片，无关宏旨，只关人性，贪婪、卑微、懦弱、冷血，不因正义或非正义而有了是非黑白。,推荐,4,0
脑子白腔荡骨鹅,2010-10-02,忘了谁叫我看的，记得看到后面感觉就是为了无间而无间反正拣最像亲密的人猜就是了。短命的帅哥叫Michiel Huisman ,还行,3,0
图啦啦,2009-09-20,"2009年9月20日1:12:18央视佳片有约
精彩的荷兰电影，剧情紧凑而人物丰满，女主角很漂亮，很勇敢。这个世界上的好人坏人不是写在脸上的。",力荐,5,0
『流河ღ旱谷』beLIEve°,2008-04-04,就算是报仇了，所爱的人都已离去，又怎么会有幸福？,力荐,5,0
小东邪,2014-02-18,非常好看精彩的悬疑谍战情节剧，对荷兰抵抗组织的人物刻画也非常有意思，还有“犹太人的生命就比荷兰人更珍贵吗”的讨论。女主尤其精彩，堪称荷兰强版王佳芝。另，解放后荷兰人对待“卖国贼”的方式也非常熟悉，人性平庸之恶从来都差不多。,推荐,4,0
王大大,2012-02-08,喜欢二战谍战影片的朋友不容错过。,力荐,5,0
蛋蛋@混混,2011-12-09,比较起来，色戒像儿童读物。豆瓣的电影简介是谁写的，自己在创造剧本么？,力荐,5,0
huyouyou,2009-06-02,2小时不知不觉就过去了，很有节奏感，情节够起伏,力荐,5,0
E.Zain,2011-01-24,如果辛德勒的名单是5星，对人性的剖析、战争本质的思考更加立体的黑皮书有什么理由不是6星？,力荐,5,0
黑黑黑心肠,2009-03-29,我居然会脑袋进水去电影院看了一遍，MLGB的广电总局,推荐,4,0
"杉小爱|好姑娘,咱们走起来",2012-06-19,这电影有那么好么？我怎么没看出来……,还行,3,0
黑熊扑通,2013-06-05,这部具有长篇小说结构的乱世佳人故事，要用电影镜头来描绘真是很怕情节失控，幸而导演具有良好的节奏感和高超的驾驭剧情能力，正是多一分嫌多，少一分不力的恰到好处。不过，在国内电影院观看删节版的同仁怕是要很失望了吧。,推荐,4,0
NO.兔斯葵,2009-03-15,这个电影很好，但还不是最好的，所以给了四星，原因是里面总是露胸，不喜欢。不过这真是一部好的片啊。情节好，女演员超靓啊！,推荐,4,0
马甲1号,2010-10-08,如果没看女主角穿着红裙子唱歌那一幕 就不可能意识到自己错过了什么，太美了····什么才叫气质啊···还有还有，跟兔子抢胡萝卜那段,力荐,5,0
原子,2010-12-17,完全是被导演牵着走，总会有原来是这样的感慨！女主角漂亮，精明，勇敢，有点像色戒中的汤唯，但是要比汤唯有心机多了，相比之下汤唯就是个sb，被干的忘乎所以，不分敌我了！昨晚刚看过希特勒的一个帖子，今天就看了他灭绝犹太人影片，以前我一直都觉得不好看呢，真没想到，很给力你电影，力荐~,力荐,5,0
Yukip,2013-09-14,从来没有看到荷兰人视角诠释的二战，间谍悬疑片，不到最后无法猜到真正的幕后黑手是谁。剧中的所有爱恨情仇，争斗，高潮迭起，情节铺设地刚刚好，很推荐。犹太人要像做一个好间谍，这样的女人让人无法不爱，可爱坚强却也脆弱孤单。虽然纳粹值得恨，但追随着的人们为了生存下去而转投阵营，可恨也可理解,力荐,5,0
Never-land,2010-08-01,挺好的，比色戒好，女主角很美~,推荐,4,0
Jason Bourne,2009-02-21,"战争并不可怕，可怕的是人心。
女主角才貌双全，演技上佳。",推荐,4,1
Tina,2018-05-13,故事与《色戒》略有相似，尺度同样不小。导演把控节奏和塑造人物的能力妙极，全片两个多小时，基本无冷场，剧情跌宕起伏，看得甚是过瘾。并且人物也没有被简单地脸谱化，正邪、善恶的边界在战争的背景下都变得模糊了，女主人生每一步的心理变化都描绘得很真实生动，画面很美，也很残酷，令人印象深刻。,推荐,4,0
爱上女逃犯,2011-11-08,真正反映人性的反战电影，很多所谓的反战电影都无法用如此商业的手法揭示如此反战的内涵。,力荐,5,0
溯,2011-08-30,DTS-WiKi 女人真不容易~ 专制的罪恶,力荐,5,0
