day,week_day,day_type
20171023,1,上班日
20171024,2,上班日
20171025,3,上班日
20171026,4,上班日
20171027,5,上班日
20171028,6,放假假日
20171029,7,未上班双休日
20171030,1,上班日
20171031,2,上班日
20171101,3,上班日
20171102,4,上班日
20171103,5,上班日
20171104,6,未上班双休日
20171105,7,未上班双休日
20171106,1,上班日
20171107,2,上班日
20171108,3,上班日
20171109,4,上班日
20171110,5,上班日
20171111,6,未上班双休日
20171112,7,未上班双休日
20171113,1,上班日
20171114,2,上班日
20171115,3,上班日
20171116,4,上班日
20171117,5,上班日
20171118,6,未上班双休日
20171119,7,未上班双休日
20171120,1,上班日
20171121,2,上班日
20171122,3,上班日
20171123,4,上班节假日
20171124,5,上班日
20171125,6,未上班双休日
20171126,7,未上班双休日
20171127,1,上班日
20171128,2,上班日
20171129,3,上班日
20171130,4,上班日
20171201,5,上班日
20171202,6,未上班双休日
20171203,7,未上班双休日
20171204,1,上班日
20171205,2,上班日
20171206,3,上班日
20171207,4,上班日
20171208,5,上班日
20171209,6,未上班双休日
20171210,7,未上班双休日
20171211,1,上班日
20171212,2,上班日
20171213,3,上班日
20171214,4,上班日
20171215,5,上班日
20171216,6,未上班双休日
20171217,7,未上班双休日
20171218,1,上班日
20171219,2,上班日
20171220,3,上班日
20171221,4,上班日
20171222,5,上班日
20171223,6,未上班双休日
20171224,7,放假假日
20171225,1,上班节假日
20171226,2,上班日
20171227,3,上班日
20171228,4,上班日
20171229,5,上班日
20171230,6,放假假日
20171231,7,放假假日
20180101,1,放假假日
20180102,2,上班日
20180103,3,上班日
20180104,4,上班日
20180105,5,上班日
20180106,6,未上班双休日
20180107,7,未上班双休日
20180108,1,上班日
20180109,2,上班日
20180110,3,上班日
20180111,4,上班日
20180112,5,上班日
20180113,6,未上班双休日
20180114,7,未上班双休日
20180115,1,上班日
20180116,2,上班日
20180117,3,上班日
20180118,4,上班日
20180119,5,上班日
20180120,6,未上班双休日
20180121,7,未上班双休日
20180122,1,上班日
20180123,2,上班日
20180124,3,上班节假日
20180125,4,上班日
20180126,5,上班日
20180127,6,未上班双休日
20180128,7,未上班双休日
20180129,1,上班日
20180130,2,上班日
20180131,3,上班日
20180201,4,上班日
20180202,5,上班日
20180203,6,未上班双休日
20180204,7,未上班双休日
20180205,1,上班日
20180206,2,上班日
20180207,3,上班日
20180208,4,上班日
20180209,5,上班日
20180210,6,未上班双休日
20180211,7,上班日
20180212,1,上班日
20180213,2,上班日
20180214,3,上班节假日
20180215,4,放假假日
20180216,5,放假假日
20180217,6,放假假日
20180218,7,放假假日
20180219,1,放假假日
20180220,2,放假假日
20180221,3,放假假日
20180222,4,上班日
20180223,5,上班日
20180224,6,上班日
20180225,7,未上班双休日
20180226,1,上班日
20180227,2,上班日
20180228,3,上班日
20180301,4,上班日
20180302,5,上班节假日
20180303,6,未上班双休日
20180304,7,未上班双休日
20180305,1,上班日
20180306,2,上班日
20180307,3,上班日
20180308,4,上班节假日
20180309,5,上班日
20180310,6,未上班双休日
20180311,7,未上班双休日
20180312,1,上班日
20180313,2,上班日
20180314,3,上班日
20180315,4,上班日
20180316,5,上班日
20180317,6,未上班双休日
20180318,7,未上班双休日
20180319,1,上班日
20180320,2,上班日
20180321,3,上班日
20180322,4,上班日
20180323,5,上班日
20180324,6,未上班双休日
20180325,7,未上班双休日
20180326,1,上班日
20180327,2,上班日
20180328,3,上班日
20180329,4,上班日
20180330,5,上班日
20180331,6,未上班双休日
20180401,7,未上班双休日
20180402,1,上班日
20180403,2,上班日
20180404,3,上班日
20180405,4,放假假日
20180406,5,放假假日
20180407,6,放假假日
20180408,7,上班日
20180409,1,上班日
20180410,2,上班日
20180411,3,上班日
20180412,4,上班日
20180413,5,上班日
20180414,6,未上班双休日
20180415,7,未上班双休日
20180416,1,上班日
20180417,2,上班日
20180418,3,上班日
20180419,4,上班日
20180420,5,上班日
20180421,6,未上班双休日
20180422,7,未上班双休日
20180423,1,上班日
20180424,2,上班日
20180425,3,上班日
20180426,4,上班日
20180427,5,上班日
20180428,6,上班日
20180429,7,放假假日
20180430,1,放假假日
20180501,2,放假假日
20180502,3,上班日
20180503,4,上班日
20180504,5,上班日
20180505,6,未上班双休日
20180506,7,未上班双休日
20180507,1,上班日
20180508,2,上班日
20180509,3,上班日
20180510,4,上班日
20180511,5,上班日
20180512,6,未上班双休日
20180513,7,放假假日
20180514,1,上班日
20180515,2,上班日
20180516,3,上班日
20180517,4,上班日
20180518,5,上班日
20180519,6,未上班双休日
20180520,7,放假假日
20180521,1,上班日
20180522,2,上班日
20180523,3,上班日
20180524,4,上班日
20180525,5,上班日
20180526,6,未上班双休日
20180527,7,未上班双休日
20180528,1,上班日
20180529,2,上班日
20180530,3,上班日
20180531,4,上班日
20180601,5,上班节假日
20180602,6,未上班双休日
20180603,7,未上班双休日
20180604,1,上班日
20180605,2,上班日
20180606,3,上班日
20180607,4,上班日
20180608,5,上班日
20180609,6,未上班双休日
20180610,7,未上班双休日
20180611,1,上班日
20180612,2,上班日
20180613,3,上班日
20180614,4,上班日
20180615,5,上班日
20180616,6,放假假日
20180617,7,放假假日
20180618,1,放假假日
20180619,2,上班日
20180620,3,上班日
20180621,4,上班日
20180622,5,上班日
20180623,6,未上班双休日
20180624,7,未上班双休日
20180625,1,上班日
20180626,2,上班日
20180627,3,上班日
20180628,4,上班日
20180629,5,上班日
20180630,6,未上班双休日
20180701,7,未上班双休日
20180702,1,上班日
20180703,2,上班日
20180704,3,上班日
20180705,4,上班日
20180706,5,上班日
20180707,6,未上班双休日
20180708,7,未上班双休日
20180709,1,上班日
20180710,2,上班日
20180711,3,上班日
20180712,4,上班日
20180713,5,上班日
20180714,6,未上班双休日
20180715,7,未上班双休日
20180716,1,上班日
20180717,2,上班日
20180718,3,上班日
20180719,4,上班日
20180720,5,上班日
20180721,6,未上班双休日
20180722,7,未上班双休日
20180723,1,上班日
20180724,2,上班日
20180725,3,上班日
20180726,4,上班日
20180727,5,上班日
20180728,6,未上班双休日
20180729,7,未上班双休日
20180730,1,上班日
20180731,2,上班日
20180801,3,上班日
20180802,4,上班日
20180803,5,上班日
20180804,6,未上班双休日
20180805,7,未上班双休日
20180806,1,上班日
20180807,2,上班日
20180808,3,上班日
20180809,4,上班日
20180810,5,上班日
20180811,6,未上班双休日
20180812,7,未上班双休日
20180813,1,上班日
20180814,2,上班日
20180815,3,上班日
20180816,4,上班日
20180817,5,上班节假日
20180818,6,未上班双休日
20180819,7,未上班双休日
20180820,1,上班日
20180821,2,上班日
20180822,3,上班日
20180823,4,上班日
20180824,5,上班日
20180825,6,未上班双休日
20180826,7,未上班双休日
20180827,1,上班日
20180828,2,上班日
20180829,3,上班日
20180830,4,上班日
20180831,5,上班日
20180901,6,未上班双休日
20180902,7,未上班双休日
20180903,1,上班日
20180904,2,上班日
20180905,3,上班日
20180906,4,上班日
20180907,5,上班日
20180908,6,未上班双休日
20180909,7,未上班双休日
20180910,1,上班日
20180911,2,上班日
20180912,3,上班日
20180913,4,上班日
20180914,5,上班日
20180915,6,未上班双休日
20180916,7,未上班双休日
20180917,1,上班日
20180918,2,上班日
20180919,3,上班日
20180920,4,上班日
20180921,5,上班日
20180922,6,放假假日
20180923,7,放假假日
20180924,1,放假假日
20180925,2,上班日
20180926,3,上班日
20180927,4,上班日
20180928,5,上班日
20180929,6,上班日
20180930,7,上班日
20181001,1,放假假日
20181002,2,放假假日
20181003,3,放假假日
20181004,4,放假假日
20181005,5,放假假日
20181006,6,放假假日
20181007,7,放假假日
20181008,1,上班日
20181009,2,上班日
20181010,3,上班日
20181011,4,上班日
20181012,5,上班日
20181013,6,未上班双休日
20181014,7,未上班双休日
20181015,1,上班日
20181016,2,上班日
20181017,3,上班节假日
20181018,4,上班日
20181019,5,上班日
20181020,6,未上班双休日
20181021,7,未上班双休日
20181022,1,上班日
20181023,2,上班日
20181024,3,上班日
20181025,4,上班日
20181026,5,上班日
20181027,6,未上班双休日
20181028,7,未上班双休日
20181029,1,上班日
20181030,2,上班日
20181031,3,上班日
20181101,4,上班日
20181102,5,上班日
20181103,6,未上班双休日
20181104,7,未上班双休日
20181105,1,上班日
20181106,2,上班日
20181107,3,上班日
20181108,4,上班日
20181109,5,上班日
20181110,6,未上班双休日
20181111,7,未上班双休日
20181112,1,上班日
20181113,2,上班日
20181114,3,上班日
20181115,4,上班日
20181116,5,上班日
20181117,6,未上班双休日
20181118,7,未上班双休日
20181119,1,上班日
20181120,2,上班日
20181121,3,上班日
20181122,4,上班节假日
20181123,5,上班日
20181124,6,未上班双休日
20181125,7,未上班双休日
20181126,1,上班日
20181127,2,上班日
20181128,3,上班日
20181129,4,上班日
20181130,5,上班日
20181201,6,未上班双休日
20181202,7,未上班双休日
20181203,1,上班日
20181204,2,上班日
20181205,3,上班日
20181206,4,上班日
20181207,5,上班日
20181208,6,未上班双休日
20181209,7,未上班双休日
20181210,1,上班日
20181211,2,上班日
20181212,3,上班日
20181213,4,上班日
20181214,5,上班日
20181215,6,未上班双休日
20181216,7,未上班双休日
20181217,1,上班日
20181218,2,上班日
20181219,3,上班日
20181220,4,上班日
20181221,5,上班日
20181222,6,未上班双休日
20181223,7,未上班双休日
20181224,1,上班节假日
20181225,2,上班节假日
20181226,3,上班日
20181227,4,上班日
20181228,5,上班日
20181229,6,上班日
20181230,7,放假假日
20181231,1,放假假日
20190101,2,放假假日
20190102,3,上班日
20190103,4,上班日
20190104,5,上班日
20190105,6,未上班双休日
20190106,7,未上班双休日
20190107,1,上班日
20190108,2,上班日
20190109,3,上班日
20190110,4,上班日
20190111,5,上班日
20190112,6,未上班双休日
20190113,7,放假假日
20190114,1,上班日
20190115,2,上班日
20190116,3,上班日
20190117,4,上班日
20190118,5,上班日
20190119,6,未上班双休日
20190120,7,未上班双休日
20190121,1,上班日
20190122,2,上班日
20190123,3,上班日
20190124,4,上班日
20190125,5,上班日
20190126,6,未上班双休日
20190127,7,未上班双休日
20190128,1,上班日
20190129,2,上班日
20190130,3,上班日
20190131,4,上班日
20190201,5,上班日
20190202,6,上班日
20190203,7,上班日
20190204,1,放假假日
20190205,2,放假假日
20190206,3,放假假日
20190207,4,放假假日
20190208,5,放假假日
20190209,6,放假假日
20190210,7,放假假日
20190211,1,上班日
20190212,2,上班日
20190213,3,上班日
20190214,4,上班节假日
20190215,5,上班日
20190216,6,未上班双休日
20190217,7,未上班双休日
20190218,1,上班日
20190219,2,上班节假日
20190220,3,上班日
20190221,4,上班日
20190222,5,上班日
20190223,6,未上班双休日
20190224,7,未上班双休日
20190225,1,上班日
20190226,2,上班日
20190227,3,上班日
20190228,4,上班日
20190301,5,上班日
20190302,6,未上班双休日
20190303,7,未上班双休日
20190304,1,上班日
20190305,2,上班日
20190306,3,上班日
20190307,4,上班日
20190308,5,上班节假日
20190309,6,未上班双休日
20190310,7,未上班双休日
20190311,1,上班日
20190312,2,上班日
20190313,3,上班日
20190314,4,上班日
20190315,5,上班日
20190316,6,未上班双休日
20190317,7,未上班双休日
20190318,1,上班日
20190319,2,上班日
20190320,3,上班日
20190321,4,上班日
20190322,5,上班日
20190323,6,未上班双休日
20190324,7,未上班双休日
20190325,1,上班日
20190326,2,上班日
20190327,3,上班日
20190328,4,上班日
20190329,5,上班日
20190330,6,未上班双休日
20190331,7,未上班双休日
20190401,1,上班日
20190402,2,上班日
20190403,3,上班日
20190404,4,放假假日
20190405,5,放假假日
20190406,6,未上班双休日
20190407,7,放假假日
20190408,1,上班日
20190409,2,上班日
20190410,3,上班日
20190411,4,上班日
20190412,5,上班日
20190413,6,未上班双休日
20190414,7,未上班双休日
20190415,1,上班日
20190416,2,上班日
20190417,3,上班日
20190418,4,上班日
20190419,5,上班日
20190420,6,未上班双休日
20190421,7,未上班双休日
20190422,1,上班日
20190423,2,上班日
20190424,3,上班日
20190425,4,上班日
20190426,5,上班日
20190427,6,未上班双休日
20190428,7,上班日
20190429,1,上班日
20190430,2,上班日
20190501,3,放假假日
20190502,4,放假假日
20190503,5,放假假日
20190504,6,放假假日
20190505,7,上班日
20190506,1,上班日
20190507,2,上班日
20190508,3,上班日
20190509,4,上班日
20190510,5,上班日
20190511,6,未上班双休日
20190512,7,放假假日
20190513,1,上班日
20190514,2,上班日
20190515,3,上班日
20190516,4,上班日
20190517,5,上班日
20190518,6,未上班双休日
